district,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
2,mentions,bin_amount_share_large,overall_bins,dollar share,20,-0.13553918844490023,0.5688404897642997,-0.03157894736842105,0.8948543863933639,0.13553918844490023,0.03157894736842105,0.6692241056050585,0.9078232905439924
2,mentions,bin_count_large,overall_bins,record count,20,0.5907233370022473,0.006097484699263132,0.7250846695544841,0.00029789354063488276,0.5907233370022473,0.7250846695544841,0.03000740037735675,0.002606568480555224
2,mentions,bin_count_share_large,overall_bins,record share,20,0.02634639551764298,0.9122059093307531,0.09172932330827067,0.7005157258604466,0.02634639551764298,0.09172932330827067,0.9187685417719815,0.7909048517779237
2,mentions,bin_amount_mega,overall_bins,dollar amount,20,0.34951613424127753,0.130903528573927,0.3779644730092272,0.10036562194728656,0.34951613424127753,0.3779644730092272,0.2476553243290511,0.1979040432763397
2,mentions,bin_amount_share_mega,overall_bins,dollar share,20,0.3495161342412775,0.130903528573927,0.3779644730092272,0.10036562194728656,0.3495161342412775,0.3779644730092272,0.2476553243290511,0.1979040432763397
2,mentions,bin_count_mega,overall_bins,record count,20,0.34951613424127753,0.130903528573927,0.3779644730092272,0.10036562194728656,0.34951613424127753,0.3779644730092272,0.2476553243290511,0.1979040432763397
2,mentions,bin_count_share_mega,overall_bins,record share,20,0.34951613424127753,0.130903528573927,0.3779644730092272,0.10036562194728656,0.34951613424127753,0.3779644730092272,0.2476553243290511,0.1979040432763397
2,mentions,cash_amount,cash_in_kind,dollar amount,20,0.7139795023553114,0.00040665074581967684,0.7894736842105263,3.490503836386607e-05,0.7139795023553114,0.7894736842105263,0.006142490367492756,0.0005429672634379168
2,mentions,cash_amount_share,cash_in_kind,dollar share,20,-0.08689904878499105,0.715640439345222,-0.2346875287075726,0.31926198269601747,0.08689904878499105,0.2346875287075726,0.7868038183339001,0.475496569972792
2,mentions,cash_count,cash_in_kind,record count,20,0.7097955483032502,0.00045558019115947196,0.7443609022556391,0.0001673956999851941,0.7097955483032502,0.7443609022556391,0.006142490367492756,0.0019529498331605979
2,mentions,cash_count_share,cash_in_kind,record share,20,-0.2564725506738237,0.27504702944826437,-0.1523944991607614,0.521256880176603,0.2564725506738237,0.1523944991607614,0.4096445119442236,0.6515711002207537
2,mentions,in_kind_amount,cash_in_kind,dollar amount,20,0.4676556084579666,0.037594797400584384,0.6016863586882752,0.005006450604175002,0.4676556084579666,0.6016863586882752,0.10539803598002719,0.01630007173452326
2,mentions,in_kind_amount_share,cash_in_kind,dollar share,20,0.4597271758662317,0.041411733407072736,0.6067782037547488,0.004557532601844496,0.4597271758662317,0.6067782037547488,0.10736375327759598,0.015191775339481652
2,mentions,in_kind_count,cash_in_kind,record count,20,0.48281264671854357,0.03106290466349646,0.5821560112222571,0.007079905457932748,0.48281264671854357,0.5821560112222571,0.09453927506281531,0.021547538350230103
2,mentions,in_kind_count_share,cash_in_kind,record share,20,0.419629867526212,0.06549084809889026,0.5830162601112061,0.006975758286183189,0.419629867526212,0.5830162601112061,0.15808135748007993,0.021547538350230103
2,mentions,cash_bin_amount_micro,cash_in_kind_bins,dollar amount,20,0.6632511945111156,0.0014337954469616316,0.7022556390977444,0.0005564352866091828,0.6632511945111156,0.7022556390977444,0.01180772721027226,0.0032458725052202327
2,mentions,cash_bin_amount_share_micro,cash_in_kind_bins,dollar share,20,-0.17007800328113076,0.47344459014236284,-0.10225563909774435,0.6679353573533201,0.17007800328113076,0.10225563909774435,0.591531839202061,0.7728177688385521
