source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_share_micro,individual_business_bins,dollar share,65,-0.14115833393606647,0.2620325797117794,-0.13986013986013987,0.2664901441296472,0.14115833393606647,0.13986013986013987,0.44737269706889166,0.33916927434682376
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_share_small,individual_business_bins,dollar share,65,0.13797420522452408,0.2730560540105412,0.15692916225982975,0.21188237071630434,0.13797420522452408,0.15692916225982975,0.4605764766442864,0.2812993226286533
OpenElections contributions,2024,all,first_place_votes,individual_bin_count_share_micro,individual_business_bins,record share,65,-0.13068086147625269,0.2994574639263365,-0.20983391608391608,0.09341663941846527,0.13068086147625269,0.20983391608391608,0.4874888947638035,0.15207359905331555
OpenElections contributions,2024,all,first_place_votes,portland_share,geography,record share,62,0.12727185697695226,0.32425034564593735,0.004986337947603596,0.969318008381436,0.12727185697695226,0.004986337947603596,0.5158528226185367,0.9833660954594278
OpenElections contributions,2024,all,first_place_votes,individual_amount_share,individual_business,dollar share,65,0.12526756645919626,0.32009307571203366,-0.05454561290136129,0.6660688484904494,0.12526756645919626,0.05454561290136129,0.5150923057435024,0.7228654169663793
OpenElections contributions,2024,all,first_place_votes,portland_bin_count_share_medium,geography_bins,record share,62,0.12391235292701791,0.33728916564807504,0.4174591273172227,0.0007361888071176144,0.12391235292701791,0.4174591273172227,0.5189064086893462,0.0018404720177940359
OpenElections contributions,2024,all,first_place_votes,business_bin_amount_micro,individual_business_bins,dollar amount,65,0.12263699425593169,0.33044076870221584,0.22623159186591787,0.06996764928156719,0.12263699425593169,0.22623159186591787,0.5189064086893462,0.12244338624274259
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_micro,overall_bins,dollar share,65,-0.12129262377840222,0.33580967808603474,-0.10004370629370629,0.4278243731910396,0.12129262377840222,0.10004370629370629,0.5189064086893462,0.5075882393791995
OpenElections contributions,2024,all,first_place_votes,business_bin_count_share_large,individual_business_bins,record share,42,-0.12119054292301984,0.4445535556915923,-0.11338326259391701,0.47464450588788065,0.12119054292301984,0.11338326259391701,0.6132656696880393,0.5584053010445655
OpenElections contributions,2024,all,first_place_votes,business_bin_count_micro,individual_business_bins,record count,65,0.11897971182829857,0.3451740150216643,0.2207422744264338,0.07722530057594687,0.11897971182829857,0.2207422744264338,0.52526480546775,0.13184807415405564
OpenElections contributions,2024,all,first_place_votes,oregon_share,geography,record share,65,0.11610049967795583,0.3570557801186577,-0.0727352206288021,0.5647535162967223,0.11610049967795583,0.0727352206288021,0.5371213603011468,0.632523938252329
OpenElections contributions,2024,all,first_place_votes,bin_count_share_micro,overall_bins,record share,65,-0.11524391585646505,0.3606386276307699,-0.16577797202797204,0.18691368873064976,0.11524391585646505,0.16577797202797204,0.5371213603011468,0.2565482002185389
