candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,predicted,residual,money_measure,outcome_measure,district_r_squared,first_place_votes,total_spending
2024|2|bob simril,Bob Simril,2,False,26230.0,,3968.93101851756,-1448.93101851756,Fundraising,first_place_votes,0.33937895870311896,2520.0,
2024|2|jonathan tasini,Jonathan Tasini,2,True,49453.07,,5250.654774180606,-1846.6547741806062,Fundraising,first_place_votes,0.33937895870311896,3404.0,
2024|2|tiffani penson,Tiffani Penson,2,True,80381.24,,6232.508584768304,985.491415231696,Fundraising,first_place_votes,0.33937895870311896,7218.0,
2024|2|michelle depass,Michelle DePass,2,True,32578.29,,4407.021526233966,2430.978473766034,Fundraising,first_place_votes,0.33937895870311896,6838.0,
2024|2|reuben berlin,Reuben Berlin,2,False,6309.98,,1089.2560075840702,-433.2560075840702,Fundraising,first_place_votes,0.33937895870311896,656.0,
2024|3|angelita morillo,Angelita Morillo,3,True,64641.17,,10707.979778539502,5691.020221460498,Fundraising,first_place_votes,0.5664714722565909,16399.0,
2024|3|ahlam k osman,Ahlam K Osman,3,False,9002.06,,3376.4154430049275,-2667.4154430049275,Fundraising,first_place_votes,0.5664714722565909,709.0,
2024|3|steve novick,Steve Novick,3,True,87240.55,,11823.031195586114,8633.968804413886,Fundraising,first_place_votes,0.5664714722565909,20457.0,
2024|3|harrison kass,Harrison Kass,3,False,16057.89,,5528.67883878385,-2742.6788387838496,Fundraising,first_place_votes,0.5664714722565909,2786.0,
2024|3|luke zak,Luke Zak,3,False,9730.62,,3665.82408561205,-3117.82408561205,Fundraising,first_place_votes,0.5664714722565909,548.0,
2024|3|chris flanary,Chris Flanary,3,False,17826.94,,5917.345726383781,-4675.345726383781,Fundraising,first_place_votes,0.5664714722565909,1242.0,
2024|3|jonathan jon walker,Jonathan (Jon) Walker,3,False,3842.5,,210.74747515595664,1111.2525248440434,Fundraising,first_place_votes,0.5664714722565909,1322.0,
2024|3|tiffany koyama lane,Tiffany Koyama Lane,3,True,88689.62,,11884.298293295917,4435.701706704083,Fundraising,first_place_votes,0.5664714722565909,16320.0,
2024|3|kelly janes kj,Kelly Janes (KJ),3,False,4730.0,,983.4121892533803,-758.4121892533803,Fundraising,first_place_votes,0.5664714722565909,225.0,
2024|3|dan gilk,Dan Gilk,3,False,3490.0,,-147.01657979485753,477.01657979485753,Fundraising,first_place_votes,0.5664714722565909,330.0,
2024|3|theo hathaway saner,Theo Hathaway Saner,3,False,7504.99,,2700.039586685507,-2481.039586685507,Fundraising,first_place_votes,0.5664714722565909,219.0,
2024|3|jesse cornett,Jesse Cornett,3,True,52912.46,,9963.372131632514,-6103.372131632514,Fundraising,first_place_votes,0.5664714722565909,3860.0,
2024|3|matthew matt anderson,Matthew (Matt) Anderson,3,False,710.0,,-6065.188188542299,6820.188188542299,Fundraising,first_place_votes,0.5664714722565909,755.0,
2024|3|rex burkholder,Rex Burkholder,3,True,39230.39,,8850.675555504396,-4899.6755555043965,Fundraising,first_place_votes,0.5664714722565909,3951.0,
2024|3|philippe knab,Philippe Knab,3,False,5115.0,,1274.3844688993522,276.6155311006478,Fundraising,first_place_votes,0.5664714722565909,1551.0,
2024|4|mitch green,Mitch Green,4,True,60464.56,,6030.525406365767,4356.474593634233,Fundraising,first_place_votes,0.26124044051056905,10387.0,
2024|4|mike dinapoli,Mike DiNapoli,4,False,7289.0,,3186.84103443242,-2871.84103443242,Fundraising,first_place_votes,0.26124044051056905,315.0,
2024|4|moses ross,Moses Ross,4,False,27896.63,,4990.767311027568,-4412.767311027568,Fundraising,first_place_votes,0.26124044051056905,578.0,
2024|4|michael trimble,Michael Trimble,4,False,509.0,,-388.44460439165596,618.444604391656,Fundraising,first_place_votes,0.26124044051056905,230.0,
2024|4|andra vltavin,Andra Vltavín,4,False,800.0,,218.3808355539004,1136.6191644460996,Fundraising,first_place_votes,0.26124044051056905,1355.0,
2024|4|stanley penkin,Stanley Penkin,4,False,61847.0,,6060.911444839816,-4968.911444839816,Fundraising,first_place_votes,0.26124044051056905,1092.0,
2024|4|eli arnold,Eli Arnold,4,True,50778.15,,5795.849463506856,2327.1505364931436,Fundraising,first_place_votes,0.26124044051056905,8123.0,
2024|4|chad lykins,Chad Lykins,4,True,47007.66,,5692.1414441410925,-935.1414441410925,Fundraising,first_place_votes,0.26124044051056905,4757.0,
2024|4|eric zimmerman,Eric Zimmerman,4,True,41878.55,,5536.843943153379,2468.156056846621,Fundraising,first_place_votes,0.26124044051056905,8005.0,
2024|4|sarah silkie,Sarah Silkie,4,True,25477.64,,4868.849446089727,-453.8494460897273,Fundraising,first_place_votes,0.26124044051056905,4415.0,
2024|4|lisa freeman,Lisa Freeman,4,True,25827.58,,4887.18549433483,-1138.1854943348299,Fundraising,first_place_votes,0.26124044051056905,3749.0,
2024|4|bob weinstein,Bob Weinstein,4,True,33919.91,,5253.538794139262,-1362.5387941392619,Fundraising,first_place_votes,0.26124044051056905,3891.0,
2024|4|chris henry,Chris Henry,4,False,5474.24,,2802.04919167198,-2501.04919167198,Fundraising,first_place_votes,0.26124044051056905,301.0,
2024|4|tony morse,Tony Morse,4,False,41809.6,,5534.629095151471,-3530.629095151471,Fundraising,first_place_votes,0.26124044051056905,2004.0,
